moisture,nitrogen,phosphorus,potassium,soil_type,crop
37.74,14,16,1,Red,Wheat
21.16,10,12,18,Sandy,Ground Nuts
59.62,38,1,0,Sandy,Paddy
52.04,37,0,1,Clayey,Tobacco
57.15,8,20,19,Loamy,Paddy
35.14,10,6,0,Red,Tobacco
43.46,27,20,2,Clayey,Wheat
56.58,12,30,11,Clayey,Maize
39.34,8,17,0,Loamy,Paddy
34.36,37,0,3,Black,Pulses
52.5,4,28,4,Red,Tobacco
60.86,13,10,0,Sandy,Wheat
62.62,25,19,0,Sandy,Maize
31.22,38,0,1,Red,Oil seeds
32.53,15,39,4,Red,Barley
52.01,27,19,0,Loamy,Wheat
45.62,18,17,3,Black,Oil seeds
45.54,22,22,3,Clayey,Maize
49.42,10,40,0,Clayey,Millets
69.41,32,0,0,Loamy,Pulses
25.35,26,17,1,Sandy,Oil seeds
27.32,33,0,3,Loamy,Ground Nuts
32.88,11,42,0,Red,Oil seeds
43.8,3,17,18,Loamy,Paddy
62.01,16,9,3,Red,Oil seeds
32.65,13,36,0,Black,Ground Nuts
35.61,7,38,0,Loamy,Sugarcane
64.27,12,33,8,Sandy,Sugarcane
43.61,34,0,0,Loamy,Millets
38.67,37,0,2,Clayey,Barley
35.57,8,40,1,Clayey,Cotton
43.43,20,18,0,Red,Tobacco
66.7,42,1,3,Black,Millets
68.29,12,10,0,Sandy,Maize
23.34,13,37,0,Sandy,Ground Nuts
34.94,8,18,0,Clayey,Wheat
45.4,21,14,2,Black,Sugarcane
41.82,36,0,0,Red,Paddy
37.01,15,38,2,Clayey,Sugarcane
54.2,21,21,4,Black,Sugarcane
24.15,39,0,0,Black,Oil seeds
34.84,35,0,1,Clayey,Ground Nuts
45.53,25,16,3,Loamy,Tobacco
45.94,40,0,0,Red,Millets
67.85,10,26,8,Black,Wheat
53.2,12,26,11,Clayey,Pulses
35.53,34,0,0,Sandy,Barley
65.49,42,0,2,Sandy,Sugarcane
28.66,17,19,2,Red,Millets
43.87,16,26,0,Loamy,Tobacco
54.92,17,40,0,Sandy,Paddy
20,10,43,4,Black,Millets
70,38,0,1,Black,Pulses
34.56,12,23,9,Clayey,Barley
54.93,16,40,4,Red,Oil seeds
64.55,22,20,2,Loamy,Maize
47.25,33,0,0,Loamy,Paddy
33.2,34,2,2,Black,Pulses
63.26,4,25,8,Loamy,Oil seeds
43.05,12,9,0,Red,Millets
38.5,11,39,0,Red,Ground Nuts
52.71,39,0,0,Loamy,Millets
39.95,18,19,2,Black,Sugarcane
31.56,39,1,0,Red,Sugarcane
53.28,42,0,4,Loamy,Wheat
70,31,0,4,Red,Cotton
27.89,39,4,2,Black,Cotton
54.07,12,34,11,Loamy,Sugarcane
54.47,23,23,0,Black,Wheat
36.81,24,22,4,Sandy,Oil seeds
42.48,12,11,8,Sandy,Pulses
61.79,12,11,14,Black,Tobacco
36.04,5,16,2,Red,Tobacco
42.43,9,29,3,Black,Pulses
65.31,13,11,17,Black,Millets
20.37,34,0,0,Sandy,Sugarcane
49.51,11,11,2,Red,Millets
37.08,11,41,1,Red,Tobacco
54.33,20,19,0,Red,Sugarcane
47.75,35,0,1,Sandy,Cotton
31.63,37,0,0,Red,Ground Nuts
34.24,36,0,0,Loamy,Barley
21.71,10,14,3,Red,Paddy
48.68,7,8,1,Clayey,Sugarcane
62.9,8,5,2,Clayey,Maize
20.54,9,41,3,Clayey,Millets
68.23,13,34,0,Sandy,Sugarcane
55.03,12,18,14,Clayey,Sugarcane
43.87,39,0,0,Sandy,Ground Nuts
41.62,24,26,1,Loamy,Cotton
65.81,7,30,10,Loamy,Cotton
61.45,11,16,0,Red,Tobacco
24.56,8,39,2,Sandy,Millets
40.78,13,17,0,Sandy,Millets
26.28,13,41,0,Black,Wheat
58.94,12,8,0,Loamy,Oil seeds
70,14,38,3,Red,Tobacco
25.76,5,26,8,Red,Maize
44.78,8,11,0,Loamy,Maize
40.43,13,16,14,Black,Cotton
37.55,19,25,0,Clayey,Millets
37.47,38,3,2,Loamy,Ground Nuts
39.94,24,16,2,Red,Cotton
44.43,6,36,0,Clayey,Millets
39.97,24,28,0,Black,Sugarcane
41.85,20,23,0,Loamy,Oil seeds
70,12,40,2,Loamy,Ground Nuts
63.01,14,36,0,Loamy,Oil seeds
32.3,4,15,14,Clayey,Sugarcane
68.38,12,42,1,Loamy,Paddy
30.14,10,43,2,Black,Sugarcane
38.46,35,0,0,Clayey,Wheat
24.11,10,37,0,Sandy,Paddy
39.82,33,0,0,Loamy,Barley
49.7,11,26,12,Clayey,Paddy
46.45,6,10,14,Clayey,Cotton
48.67,1,24,4,Black,Pulses
48.12,43,0,3,Red,Ground Nuts
32.23,13,30,5,Red,Sugarcane
61.88,31,0,0,Red,Tobacco
27.65,6,32,6,Loamy,Ground Nuts
62.82,35,4,0,Red,Pulses
36.61,8,19,15,Black,Maize
53.88,15,16,14,Loamy,Paddy
48.03,7,32,0,Black,Millets
52.01,13,37,4,Black,Tobacco
63.28,9,11,15,Black,Oil seeds
63.14,26,18,2,Loamy,Barley
32.13,9,30,10,Loamy,Oil seeds
42.31,27,18,2,Red,Pulses
40.94,11,12,0,Clayey,Ground Nuts
34.93,40,0,0,Black,Barley
46.13,21,24,0,Loamy,Maize
26.19,7,29,7,Clayey,Tobacco
21.7,3,30,9,Loamy,Cotton
27.05,9,34,11,Red,Paddy
31.14,40,1,0,Sandy,Cotton
37.06,7,43,4,Loamy,Paddy
64.49,10,24,5,Sandy,Millets
25.75,5,32,10,Clayey,Sugarcane
40.03,25,22,0,Loamy,Paddy
26.83,38,1,1,Sandy,Ground Nuts
47.18,15,37,0,Red,Millets
31.6,11,39,2,Black,Wheat
28.8,11,27,8,Clayey,Maize
50.69,13,4,0,Clayey,Oil seeds
24.98,20,27,3,Sandy,Paddy
64.77,6,11,10,Loamy,Cotton
32.7,18,14,9,Sandy,Oil seeds
39.79,36,0,2,Sandy,Ground Nuts
44.77,18,10,0,Red,Wheat
56.74,7,7,0,Clayey,Wheat
55.35,17,20,0,Sandy,Paddy
56.48,8,25,7,Loamy,Maize
68.8,10,10,3,Red,Tobacco
61.19,5,14,4,Black,Barley
44.84,7,14,22,Black,Sugarcane
69.07,38,0,0,Sandy,Wheat
24.2,20,19,0,Red,Tobacco
70,14,38,0,Loamy,Wheat
37.58,25,20,0,Clayey,Sugarcane
51.04,11,15,16,Red,Cotton
33.59,6,34,0,Sandy,Millets
38.4,36,3,0,Loamy,Paddy
28.01,16,13,0,Black,Pulses
52.5,16,10,3,Clayey,Paddy
36.56,14,40,0,Loamy,Oil seeds
70,28,20,0,Red,Wheat
29.16,6,21,16,Red,Maize
41,8,6,0,Loamy,Barley
50.94,36,2,0,Black,Paddy
44.02,11,38,1,Red,Wheat
27.88,11,32,5,Red,Maize
46.8,9,29,10,Clayey,Pulses
43.37,35,2,0,Clayey,Maize
36.06,11,13,10,Black,Millets
43.42,20,26,4,Sandy,Sugarcane
34.79,6,9,0,Clayey,Ground Nuts
27.49,6,34,4,Loamy,Ground Nuts
40.74,13,40,4,Sandy,Pulses
43.03,36,0,0,Sandy,Sugarcane
47.86,6,25,7,Black,Sugarcane
45.92,25,21,3,Loamy,Barley
44.67,3,14,0,Sandy,Barley
55.08,13,39,0,Black,Oil seeds
51.42,8,29,3,Sandy,Wheat
52.64,7,24,21,Black,Paddy
37.45,21,19,0,Sandy,Wheat
33.07,35,0,0,Red,Pulses
41.52,21,23,0,Loamy,Sugarcane
32.49,17,21,0,Red,Millets
48.22,16,9,19,Sandy,Sugarcane
49.42,25,21,0,Red,Cotton
34.24,8,25,7,Sandy,Wheat
54.29,26,16,0,Clayey,Pulses
21.91,6,31,10,Red,Barley
31.47,6,23,15,Black,Maize
29.09,40,0,2,Loamy,Tobacco
55.77,4,12,0,Sandy,Millets
51.86,35,0,4,Black,Paddy
50.84,8,8,18,Loamy,Wheat
35.68,22,13,0,Sandy,Wheat
36.01,8,18,11,Sandy,Wheat
26.6,39,2,0,Loamy,Maize
49.6,10,23,16,Red,Sugarcane
20,7,31,9,Red,Wheat
31.17,9,17,4,Clayey,Millets
40.88,16,14,12,Clayey,Pulses
43.39,17,37,3,Loamy,Pulses
41.6,11,15,18,Loamy,Tobacco
41.29,28,18,0,Loamy,Oil seeds
62.11,37,0,0,Sandy,Pulses
31.38,41,0,4,Loamy,Paddy
32.61,38,0,4,Sandy,Maize
61.25,15,13,0,Clayey,Maize
31.19,10,30,10,Sandy,Cotton
41.37,38,0,2,Clayey,Barley
20.86,37,3,2,Clayey,Ground Nuts
41.79,40,4,3,Loamy,Cotton
60.62,9,33,9,Sandy,Maize
32.76,26,26,0,Clayey,Sugarcane
38.27,23,22,0,Clayey,Maize
42.41,24,19,0,Black,Paddy
65.95,8,5,0,Clayey,Pulses
30.85,7,11,19,Red,Wheat
54.5,44,0,0,Clayey,Sugarcane
41.46,7,17,19,Loamy,Cotton
66.97,13,28,8,Sandy,Cotton
57.26,11,42,0,Sandy,Paddy
61.13,40,3,0,Clayey,Paddy
52.22,17,37,2,Black,Cotton
44.13,14,44,0,Black,Paddy
49.11,2,33,6,Red,Sugarcane
36.07,11,43,0,Black,Maize
60.46,12,38,4,Red,Millets
37.99,46,4,3,Black,Maize
58.82,7,28,9,Sandy,Oil seeds
47.35,43,0,2,Loamy,Ground Nuts
21.16,7,18,21,Sandy,Ground Nuts
64.07,12,12,0,Red,Maize
41.79,13,22,9,Loamy,Sugarcane
43.02,40,0,0,Loamy,Tobacco
33.52,26,17,0,Red,Barley
48.62,13,12,9,Clayey,Wheat
44.64,10,17,14,Clayey,Cotton
45.95,42,0,2,Sandy,Oil seeds
27.1,36,0,4,Clayey,Barley
38.28,6,11,17,Clayey,Pulses
32.65,21,21,1,Black,Tobacco
32.25,13,39,0,Clayey,Paddy
66.13,8,10,2,Loamy,Oil seeds
41.35,42,0,0,Red,Paddy
55.29,37,1,0,Black,Sugarcane
59.35,36,0,0,Red,Maize
27.73,10,38,0,Black,Maize
33.2,21,26,0,Black,Sugarcane
30.24,36,4,0,Red,Ground Nuts
58.77,10,12,1,Black,Oil seeds
53.07,42,0,4,Black,Millets
41.76,16,39,0,Sandy,Pulses
52.53,15,41,3,Clayey,Millets
34.92,26,27,3,Red,Pulses
42.73,38,4,0,Red,Pulses
27.4,10,40,0,Black,Cotton
30.61,25,23,0,Loamy,Ground Nuts
46.5,9,11,22,Red,Millets
24.11,41,0,0,Clayey,Tobacco
26.54,14,3,0,Clayey,Wheat
57.99,4,32,10,Sandy,Sugarcane
20.71,8,26,5,Black,Tobacco
25.82,6,34,6,Sandy,Oil seeds
40.83,17,39,2,Black,Cotton
65.34,34,2,1,Loamy,Paddy
56.5,21,23,0,Loamy,Sugarcane
61.53,8,39,0,Loamy,Pulses
65.28,5,27,9,Black,Barley
38.39,25,18,0,Red,Ground Nuts
21.85,7,18,15,Clayey,Millets
28.98,3,26,6,Red,Barley
23.95,37,0,0,Black,Tobacco
28.77,36,4,2,Loamy,Ground Nuts
70,12,38,2,Loamy,Ground Nuts
41.53,11,10,2,Clayey,Sugarcane
43.81,35,0,3,Loamy,Barley
61.08,12,35,1,Red,Pulses
47.28,7,14,14,Loamy,Barley
34.26,18,15,0,Loamy,Pulses
24.13,41,0,4,Red,Cotton
49.48,24,22,0,Red,Pulses
30.56,25,24,0,Sandy,Ground Nuts
30.93,8,25,9,Loamy,Cotton
56.61,12,7,0,Loamy,Tobacco
47.76,20,16,0,Clayey,Wheat
51.08,11,10,15,Clayey,Oil seeds
40.95,40,4,0,Red,Ground Nuts
36.13,25,20,2,Sandy,Millets
33.86,6,17,16,Black,Pulses
23.1,8,32,0,Black,Oil seeds
58.73,39,0,0,Sandy,Oil seeds
30.24,13,14,1,Sandy,Cotton
28.45,8,6,0,Red,Maize
56.93,12,31,3,Clayey,Pulses
38.16,12,16,4,Loamy,Pulses
34.53,40,0,0,Black,Barley
25.82,9,17,11,Red,Tobacco
49.63,9,12,0,Clayey,Ground Nuts
45.41,44,0,0,Clayey,Cotton
33.96,24,19,0,Loamy,Millets
24.12,8,14,0,Black,Paddy
55.26,23,18,4,Red,Cotton
34.13,10,32,0,Black,Cotton
33,7,25,10,Black,Ground Nuts
55.66,1,28,10,Black,Millets
39.44,10,12,0,Clayey,Tobacco
29.95,16,37,0,Red,Ground Nuts
32.93,15,42,0,Clayey,Sugarcane
45.19,38,2,1,Red,Sugarcane
36.72,37,0,4,Loamy,Millets
56.71,36,0,3,Sandy,Maize
41.45,12,10,0,Black,Wheat
46.9,38,0,2,Clayey,Wheat
20,37,4,0,Clayey,Millets
45.87,4,18,0,Black,Millets
58.11,14,6,3,Red,Cotton
41.55,10,29,3,Loamy,Paddy
41.9,17,32,2,Black,Pulses
59.45,14,13,14,Black,Sugarcane
37.57,24,21,0,Black,Pulses
55.15,3,37,9,Black,Pulses
61.21,16,8,0,Sandy,Cotton
37.97,21,23,0,Black,Sugarcane
62.98,15,30,4,Loamy,Pulses
39.42,38,1,2,Sandy,Pulses
35.26,28,20,4,Black,Pulses
39.67,13,36,0,Clayey,Maize
38.28,35,1,3,Loamy,Oil seeds
43.15,12,28,12,Red,Barley
20,11,27,13,Sandy,Ground Nuts
34.78,3,24,15,Black,Maize
48.25,7,24,8,Sandy,Paddy
24.65,38,3,0,Black,Pulses
31.79,21,18,3,Red,Millets
57.23,24,22,0,Loamy,Cotton
43.81,14,23,19,Clayey,Ground Nuts
57.3,13,39,1,Black,Ground Nuts
31.2,14,13,0,Loamy,Maize
34.64,14,36,0,Loamy,Millets
22.4,18,43,0,Sandy,Millets
37.79,5,16,1,Clayey,Barley
37.68,37,1,0,Loamy,Tobacco
34.42,8,33,0,Black,Ground Nuts
64.42,8,11,1,Sandy,Barley
45.98,38,0,0,Sandy,Millets
70,15,37,0,Loamy,Tobacco
36.37,37,3,1,Sandy,Tobacco
69.01,12,35,5,Red,Sugarcane
62.38,7,9,16,Clayey,Maize
39.77,41,3,0,Red,Sugarcane
51.2,13,11,3,Black,Wheat
38.22,20,18,2,Red,Pulses
37.16,36,0,0,Black,Millets
33.9,43,0,0,Loamy,Wheat
61.48,6,29,11,Red,Cotton
70,13,24,12,Red,Sugarcane
39.93,34,3,0,Black,Barley
20.33,41,2,4,Sandy,Oil seeds
35.68,32,0,0,Red,Millets
28.64,8,14,6,Black,Millets
25.39,9,36,0,Black,Maize
37.15,12,37,0,Red,Millets
47.29,24,18,0,Red,Oil seeds
57.26,13,39,1,Black,Pulses
44.4,36,0,3,Clayey,Wheat
29.59,40,3,2,Red,Sugarcane
27.55,17,39,0,Red,Millets
45.72,35,0,1,Red,Cotton
40.45,10,22,13,Clayey,Barley
57.55,9,29,13,Red,Cotton
45.96,17,10,4,Black,Paddy
55.3,0,10,15,Sandy,Cotton
41.19,22,22,4,Red,Ground Nuts
41.51,1,13,13,Sandy,Barley
40.79,5,17,11,Black,Tobacco
35.97,45,0,0,Black,Maize
44.03,22,18,0,Clayey,Tobacco
42.28,14,18,1,Loamy,Pulses
38.77,23,13,1,Loamy,Ground Nuts
36.55,32,0,1,Loamy,Sugarcane
43.16,44,0,1,Sandy,Ground Nuts
37.77,19,21,4,Black,Maize
35.13,16,42,3,Clayey,Wheat
24.75,11,16,13,Loamy,Maize
39.36,22,20,1,Black,Wheat
68.32,6,7,0,Black,Pulses
25.52,3,20,14,Black,Sugarcane
68.9,8,42,0,Red,Barley
36.26,39,0,0,Red,Pulses
52.25,18,41,3,Black,Oil seeds
36.64,10,38,0,Clayey,Sugarcane
39.13,17,43,0,Red,Ground Nuts
35.65,41,0,2,Clayey,Oil seeds
60.71,9,35,2,Clayey,Sugarcane
57.93,27,15,0,Loamy,Wheat
39.39,9,21,11,Clayey,Ground Nuts
37.43,33,2,0,Black,Sugarcane
39.87,21,19,1,Sandy,Millets
26.85,11,36,3,Loamy,Millets
50.16,33,2,0,Sandy,Wheat
55.43,42,0,4,Clayey,Paddy
36.43,17,39,0,Loamy,Sugarcane
32.77,17,21,0,Black,Pulses
53.41,41,0,1,Sandy,Maize
39.07,24,14,0,Red,Tobacco
37.19,17,38,0,Red,Sugarcane
61.53,12,32,11,Sandy,Millets
67.99,13,6,4,Black,Ground Nuts
44.4,4,14,15,Clayey,Sugarcane
69.11,15,41,0,Sandy,Oil seeds
70,9,8,3,Black,Paddy
42.85,14,7,0,Loamy,Wheat
51.32,18,17,4,Black,Millets
64.18,34,1,0,Black,Oil seeds
37.33,27,20,0,Black,Paddy
47.98,8,8,0,Red,Sugarcane
26.32,11,12,1,Clayey,Cotton
28.88,33,0,3,Loamy,Paddy
56.57,5,13,16,Black,Barley
69.25,40,0,0,Sandy,Millets
28,7,32,9,Black,Oil seeds
70,11,28,4,Red,Barley
39.77,4,26,7,Loamy,Cotton
36.01,45,0,0,Red,Ground Nuts
46.58,24,24,1,Red,Paddy
47.39,13,20,20,Loamy,Wheat
65.21,13,28,3,Black,Sugarcane
34.71,33,1,4,Loamy,Sugarcane
36.46,11,26,5,Sandy,Cotton
56.39,19,23,0,Sandy,Tobacco
40.55,14,23,19,Black,Sugarcane
50.55,16,42,0,Red,Tobacco
26.99,27,19,0,Clayey,Pulses
70,38,3,0,Sandy,Maize
49.89,24,27,0,Loamy,Tobacco
51.32,8,8,0,Black,Cotton
42.9,37,0,0,Loamy,Tobacco
27.39,15,6,9,Black,Ground Nuts
64.25,9,25,8,Loamy,Paddy
70,40,0,1,Red,Paddy
66.46,11,12,0,Sandy,Oil seeds
44.6,36,0,0,Clayey,Millets
67.03,22,19,2,Black,Pulses
36.11,18,21,0,Red,Cotton
42.28,37,0,0,Sandy,Cotton
59.57,5,34,5,Clayey,Wheat
43.49,35,3,0,Red,Oil seeds
52.43,21,21,0,Loamy,Tobacco
29.3,38,0,2,Clayey,Wheat
51.88,33,0,2,Loamy,Millets
66.14,8,17,0,Loamy,Wheat
34.93,5,28,10,Sandy,Tobacco
47.88,10,6,3,Loamy,Pulses
20.71,12,11,16,Red,Oil seeds
52.35,11,36,1,Black,Oil seeds
26.04,6,34,11,Loamy,Maize
46.38,10,17,15,Loamy,Paddy
46.83,37,0,1,Sandy,Tobacco
41.27,38,4,0,Loamy,Oil seeds
24.21,10,39,1,Loamy,Oil seeds
40.24,19,45,0,Loamy,Pulses
46.77,12,32,3,Loamy,Wheat
45.16,26,21,0,Sandy,Sugarcane
55.44,11,17,13,Sandy,Paddy
51.57,12,37,0,Clayey,Tobacco
40.8,42,0,3,Red,Cotton
52.62,11,33,3,Black,Wheat
51.55,15,12,0,Sandy,Cotton
24.22,26,18,0,Clayey,Pulses
39.54,34,0,2,Black,Sugarcane
40.27,36,0,0,Black,Cotton
24.52,13,37,2,Clayey,Pulses
61.71,18,36,4,Black,Oil seeds
53.38,9,37,0,Clayey,Cotton
23.13,6,34,0,Loamy,Wheat
30.7,11,11,6,Loamy,Ground Nuts
47.68,21,24,0,Loamy,Maize
37.69,9,16,4,Sandy,Cotton
43.54,8,16,13,Red,Tobacco
46.91,2,20,15,Clayey,Ground Nuts
61.58,12,14,0,Black,Cotton
59.87,4,36,12,Sandy,Tobacco
58.88,17,38,0,Clayey,Barley
35.98,10,18,0,Red,Pulses
67.32,14,38,0,Sandy,Wheat
57.03,9,24,8,Clayey,Paddy
45.69,22,26,1,Loamy,Barley
34.68,17,7,0,Red,Cotton
24.22,19,21,0,Red,Millets
52.97,11,12,0,Black,Cotton
37.48,10,37,1,Sandy,Ground Nuts
26.39,12,27,2,Sandy,Wheat
67.17,40,2,3,Clayey,Millets
30.16,10,32,0,Red,Paddy
49.51,9,39,3,Sandy,Pulses
56.14,5,15,13,Red,Paddy
41.88,12,34,2,Loamy,Maize
35.74,11,21,12,Loamy,Ground Nuts
24.78,19,13,14,Loamy,Barley
38.6,21,15,0,Red,Sugarcane
28.94,12,37,0,Clayey,Ground Nuts
23.96,9,12,20,Loamy,Tobacco
32.47,42,0,4,Sandy,Tobacco
64.3,36,0,4,Loamy,Tobacco
38.74,26,17,1,Clayey,Ground Nuts
33.63,39,4,0,Black,Paddy
52.98,17,37,0,Black,Ground Nuts
38.36,11,15,0,Sandy,Wheat
30.22,19,27,3,Red,Paddy
65.9,39,4,4,Red,Wheat
52.77,13,11,13,Red,Oil seeds
20,13,28,8,Loamy,Cotton
46.96,40,4,2,Black,Wheat
32.66,6,21,17,Sandy,Tobacco
38.08,25,19,1,Sandy,Pulses
49.7,19,36,1,Loamy,Tobacco
46.15,10,23,21,Black,Pulses
25.04,20,16,3,Loamy,Pulses
47.01,21,17,1,Red,Sugarcane
38.03,36,3,0,Black,Pulses
41.8,3,19,17,Black,Pulses
22.93,15,16,0,Red,Maize
62.33,9,41,1,Black,Millets
39.96,9,39,3,Loamy,Paddy
57.63,5,33,9,Red,Tobacco
43.39,40,4,1,Sandy,Ground Nuts
60.43,8,5,0,Black,Wheat
42.02,11,46,4,Loamy,Cotton
58.57,11,18,4,Red,Wheat
31.95,20,16,3,Sandy,Maize
60.4,4,15,3,Clayey,Oil seeds
29.73,15,38,3,Sandy,Pulses
54.65,39,3,0,Sandy,Paddy
35.11,37,3,2,Loamy,Tobacco
30.72,34,0,0,Clayey,Maize
40.7,12,18,0,Black,Tobacco
52.01,17,39,0,Black,Cotton
70,13,13,0,Sandy,Sugarcane
47.91,15,14,14,Loamy,Barley
23.5,8,34,0,Sandy,Pulses
40.56,20,13,0,Sandy,Ground Nuts
37.3,45,2,0,Loamy,Wheat
59.82,3,37,10,Sandy,Oil seeds
36.04,37,0,2,Red,Barley
41.86,9,31,8,Sandy,Maize
44.33,8,10,12,Sandy,Wheat
35.06,13,4,0,Black,Cotton
60.38,19,23,0,Loamy,Wheat
67.2,14,37,0,Red,Barley
37.45,17,40,0,Red,Tobacco
62.55,12,38,4,Loamy,Sugarcane
60.21,10,10,0,Red,Wheat
40.14,19,20,0,Clayey,Paddy
32.57,9,18,19,Clayey,Paddy
61.42,13,12,0,Black,Tobacco
32.44,2,20,14,Sandy,Oil seeds
27.08,11,8,2,Red,Millets
54.59,13,35,8,Red,Oil seeds
35.02,41,0,0,Loamy,Millets
32.44,38,0,2,Clayey,Ground Nuts
41.74,23,23,1,Black,Pulses
51.39,27,17,0,Loamy,Tobacco
39.32,34,3,0,Red,Ground Nuts
70,26,24,2,Sandy,Maize
35.74,34,0,3,Red,Paddy
50.32,23,18,0,Clayey,Ground Nuts
31.77,41,0,0,Red,Sugarcane
48.74,12,29,8,Clayey,Tobacco
38.52,13,42,4,Red,Ground Nuts
29.06,16,15,0,Clayey,Millets
61.23,8,13,0,Red,Ground Nuts
52.22,6,29,10,Black,Ground Nuts
44.35,39,3,0,Clayey,Cotton
43.7,11,14,8,Red,Maize
28.36,16,34,1,Loamy,Wheat
49.01,44,2,0,Clayey,Maize
34.2,35,4,3,Sandy,Ground Nuts
50.81,7,37,7,Sandy,Tobacco
66.53,21,21,0,Red,Sugarcane
54.53,13,35,0,Sandy,Barley
42.95,24,17,0,Sandy,Millets
38.7,19,26,4,Red,Millets
38.5,16,27,3,Red,Wheat
63.78,10,11,8,Sandy,Paddy
35.57,13,32,8,Sandy,Barley
30.96,8,10,0,Red,Maize
36.75,20,22,0,Clayey,Sugarcane
61.72,18,38,0,Red,Oil seeds
30.23,9,38,0,Clayey,Barley
61.27,12,32,0,Sandy,Maize
49.95,18,25,0,Black,Wheat
25.69,6,20,18,Loamy,Tobacco
36.58,5,28,5,Red,Millets
21.43,12,36,1,Red,Cotton
31.86,13,11,0,Red,Wheat
50.85,9,23,11,Sandy,Wheat
37.19,23,15,0,Sandy,Maize
49.07,10,32,8,Clayey,Wheat
42.29,11,26,4,Sandy,Ground Nuts
50.23,8,10,18,Clayey,Barley
51.79,26,16,0,Loamy,Wheat
34.79,40,0,2,Red,Sugarcane
35.02,19,16,0,Loamy,Barley
30.22,37,0,0,Clayey,Cotton
36.84,17,34,0,Clayey,Millets
58.19,43,0,2,Loamy,Sugarcane
70,9,34,0,Red,Paddy
62.73,11,14,4,Clayey,Pulses
55.42,6,40,0,Red,Tobacco
37.95,37,0,0,Clayey,Pulses
34.63,4,28,12,Red,Wheat
28.12,39,0,0,Sandy,Ground Nuts
36.98,15,37,0,Sandy,Paddy
28.75,13,38,4,Black,Sugarcane
44.94,10,38,1,Black,Pulses
37.92,16,15,2,Red,Barley
46.84,40,0,0,Black,Millets
35.3,21,22,0,Black,Oil seeds
69.17,11,29,5,Red,Sugarcane
43.64,21,18,0,Red,Maize
66.79,15,43,0,Black,Barley
32.88,16,44,4,Red,Paddy
36.61,5,28,10,Sandy,Barley
54.46,15,38,4,Sandy,Barley
31.58,23,15,0,Sandy,Cotton
60.71,14,18,11,Loamy,Wheat
39.79,15,32,0,Clayey,Sugarcane
52.2,40,0,2,Red,Sugarcane
37.65,2,16,17,Clayey,Barley
20.35,16,38,0,Red,Barley
61.24,4,34,9,Loamy,Wheat
37.76,27,19,1,Sandy,Barley
54.65,27,16,0,Red,Oil seeds
66.05,9,34,0,Red,Pulses
22.13,8,14,0,Loamy,Paddy
48.14,16,14,11,Sandy,Maize
37.92,6,37,0,Clayey,Tobacco
29.12,3,17,12,Black,Tobacco
70,9,33,12,Clayey,Sugarcane
43.95,33,1,4,Red,Tobacco
38.29,27,16,0,Black,Maize
41.77,13,9,7,Loamy,Cotton
55.47,12,32,6,Red,Maize
25.31,10,36,3,Clayey,Maize
35.22,4,20,12,Red,Pulses
42.62,5,9,16,Clayey,Ground Nuts
40.81,16,37,2,Loamy,Paddy
22.31,23,23,3,Red,Oil seeds
53.72,41,0,1,Clayey,Ground Nuts
43.35,8,16,13,Red,Wheat
61.51,12,27,11,Loamy,Cotton
61.83,6,27,5,Loamy,Oil seeds
30.08,22,16,4,Black,Barley
43.22,16,40,0,Loamy,Cotton
32.09,20,21,0,Clayey,Millets
43.52,20,17,4,Clayey,Cotton
64.16,9,29,6,Clayey,Millets
26.58,34,0,2,Sandy,Cotton
42.85,15,38,3,Red,Barley
38.02,8,20,17,Loamy,Wheat
32.9,46,0,0,Black,Ground Nuts
67.15,13,9,3,Loamy,Cotton
61.02,37,0,0,Clayey,Pulses
59.59,37,1,3,Sandy,Tobacco
28.75,42,0,0,Clayey,Maize
52.54,9,22,20,Loamy,Tobacco
43.45,10,14,21,Red,Pulses
57.16,7,31,12,Loamy,Ground Nuts
46.78,5,13,11,Black,Sugarcane
32.13,42,0,1,Red,Paddy
37.4,0,13,14,Sandy,Oil seeds
70,17,42,3,Red,Ground Nuts
42.1,6,27,6,Sandy,Pulses
35.05,17,35,0,Clayey,Sugarcane
46.83,21,20,0,Sandy,Millets
37.53,7,17,0,Clayey,Pulses
36.62,18,40,3,Loamy,Pulses
43.36,5,21,6,Black,Millets
38.67,14,5,0,Clayey,Wheat
59.4,28,22,4,Sandy,Barley
61.7,11,9,4,Loamy,Barley
56.4,6,23,12,Sandy,Maize
51.05,25,21,0,Loamy,Maize
64.74,9,25,11,Black,Tobacco
57.42,42,2,0,Clayey,Oil seeds
40.8,8,36,3,Red,Cotton
36.17,8,12,23,Loamy,Oil seeds
59.18,8,12,17,Sandy,Oil seeds
39.69,21,17,0,Clayey,Tobacco
36.48,24,18,3,Sandy,Oil seeds
60.52,11,29,11,Loamy,Maize
25.05,34,0,0,Red,Paddy
32.97,4,18,23,Red,Pulses
39.07,40,1,2,Loamy,Cotton
38.18,3,12,23,Sandy,Paddy
46.52,23,16,0,Loamy,Tobacco
52.54,26,18,0,Clayey,Barley
36.53,23,17,0,Red,Barley
40.51,25,25,2,Black,Barley
26.01,42,1,0,Clayey,Maize
69.72,6,31,6,Black,Pulses
42.18,43,0,0,Red,Paddy
58.33,26,23,1,Loamy,Barley
65.22,8,27,11,Black,Millets
65.33,18,41,3,Red,Sugarcane
39.39,17,36,0,Red,Wheat
